Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
,,,,,,13.79,-1.08091308,-0.938094216,-0.79922556,0.14084376
,,,,,,13.8,-1.077763351,-0.934808607,-0.7956935,0.141034926
,,,,,,13.81,-1.074668989,-0.931527975,-0.793198252,0.140735369
,,,,,,13.82,-1.070566914,-0.92825384,-0.789038423,0.140764246
,,,,,,13.83,-1.066622324,-0.92498772,-0.785799479,0.140411423
,,,,,,13.84,-1.06294601,-0.921731067,-0.782369144,0.140288433
,,,,,,13.85,-1.060489988,-0.918483938,-0.778337051,0.141076468
,,,,,,13.86,-1.057231649,-0.915245937,-0.773726398,0.141752626
,,,,,,13.87,-1.053241594,-0.912017091,-0.771152004,0.141044795
,,,,,,13.88,-1.048951938,-0.908797428,-0.769619552,0.139666193
,,,,,,13.89,-1.045133084,-0.905586975,-0.766877377,0.139127853
,,,,,,13.9,-1.043523896,-0.902385762,-0.764113593,0.139705152
,,,,,,13.91,-1.040882166,-0.899193817,-0.761200702,0.139840732
,,,,,,13.92,-1.037776977,-0.896011168,-0.758395042,0.139690968
,,,,,,13.93,-1.034786033,-0.892837842,-0.756515813,0.13913511
,,,,,,13.94,-1.031914332,-0.889673869,-0.754265285,0.138824523
,,,,,,13.95,-1.028629422,-0.886519277,-0.750354654,0.139137384
,,,,,,13.96,-1.024421735,-0.883374094,-0.746050974,0.139185381
,,,,,,13.97,-1.020958275,-0.880237975,-0.742689948,0.139134164
,,,,,,13.98,-1.016889731,-0.87710947,-0.741235677,0.137827027
,,,,,,13.99,-1.012230703,-0.873986924,-0.73897337,0.136628667
,,,,,,14,-1.007304261,-0.870868681,-0.737822184,0.134741038
,,,,,,14.01,-1.002330519,-0.867753086,-0.736061582,0.133134469
,,,,,,14.02,-0.998820455,-0.864638484,-0.734082791,0.132368832
,,,,,,14.03,-0.994584375,-0.86152322,-0.731676346,0.131454014
,,,,,,14.04,-0.991401654,-0.858405639,-0.728161592,0.131620031
,,,,,,14.05,-0.988325049,-0.855284085,-0.724371541,0.131976754
,,,,,,14.06,-0.985192655,-0.852156903,-0.721573334,0.131809661
,,,,,,14.07,-0.982023727,-0.849022438,-0.718410992,0.131806367
,,,,,,14.08,-0.977336919,-0.845879109,-0.713610562,0.131863179
,,,,,,14.09,-0.973423005,-0.842727046,-0.709938671,0.131742167
,,,,,,14.1,-0.971397053,-0.839568091,-0.706910745,0.132243154
,,,,,,14.11,-0.967279498,-0.83640416,-0.704286644,0.131496427
,,,,,,14.12,-0.964062672,-0.833237168,-0.701794198,0.131134237
,,,,,,14.13,-0.961913517,-0.83006903,-0.697111578,0.13240097
,,,,,,14.14,-0.959026255,-0.826901663,-0.694323483,0.132351386
,,,,,,14.15,-0.956219506,-0.823736982,-0.691665972,0.132276767
,,,,,,14.16,-0.952677945,-0.820576903,-0.690609606,0.131034169
,,,,,,14.17,-0.948385745,-0.817423341,-0.689022943,0.129681401
,,,,,,14.18,-0.946308709,-0.814278212,-0.686827574,0.129740567
,,,,,,14.19,-0.942891369,-0.811143433,-0.683100394,0.129895487
,,,,,,14.2,-0.94170243,-0.808020947,-0.679618014,0.131042208
,,,,,,14.21,-0.937786786,-0.804912999,-0.67719361,0.130296588
,,,,,,14.22,-0.934048821,-0.801822011,-0.674697953,0.129675434
,,,,,,14.23,-0.930478781,-0.798750405,-0.671827223,0.129325779
,,,,,,14.24,-0.92758632,-0.795700606,-0.668149884,0.129718218
,,,,,,14.25,-0.925769054,-0.792675036,-0.664791777,0.130488639
,,,,,,14.26,-0.921823221,-0.78967612,-0.66185394,0.129984641
,,,,,,14.27,-0.917379818,-0.78670628,-0.659785454,0.128797182
,,,,,,14.28,-0.913930544,-0.783767941,-0.65778229,0.128074127
,,,,,,14.29,-0.909976521,-0.780863525,-0.656285051,0.126845735
,,,,,,14.3,-0.906293025,-0.777995457,-0.654537611,0.125877707
,,,,,,14.31,-0.904071734,-0.775166172,-0.652061404,0.126005165
,,,,,,14.32,-0.901112538,-0.772378594,-0.649146132,0.125983203
,,,,,,14.33,-0.89941972,-0.769636282,-0.646827208,0.126296256
,,,,,,14.34,-0.896425646,-0.766942837,-0.644577862,0.125923892
,,,,,,14.35,-0.892780347,-0.764301859,-0.64140774,0.125686304
,,,,,,14.36,-0.889487753,-0.76171695,-0.63863081,0.125428472
,,,,,,14.37,-0.885563123,-0.759191709,-0.63595252,0.124805302
,,,,,,14.38,-0.881717178,-0.756729738,-0.634353537,0.123681821
,,,,,,14.39,-0.88120793,-0.754334638,-0.632135217,0.124536356
,,,,,,14.4,-0.877968402,-0.752010009,-0.631071387,0.123448508
,,,,,,14.41,-0.874212438,-0.749759452,-0.62874415,0.122734144
,,,,,,14.42,-0.87010734,-0.74758656,-0.626773457,0.121666942
,,,,,,14.43,-0.869387753,-0.745494872,-0.625256058,0.122065848
,,,,,,14.44,-0.86754124,-0.743487901,-0.623452201,0.122044519
,,,,,,14.45,-0.865495554,-0.74156916,-0.620931109,0.122282223
,,,,,,14.46,-0.861246943,-0.739742163,-0.618952669,0.121147137
,,,,,,14.47,-0.859005087,-0.738010424,-0.616998871,0.121003108
,,,,,,14.48,-0.857019427,-0.736377455,-0.615305361,0.120857033
,,,,,,14.49,-0.855767111,-0.73484677,-0.614920422,0.120423345
,,,,,,14.5,-0.85644668,-0.733421883,-0.615494631,0.120476024
,,,,,,14.51,-0.85612024,-0.732106306,-0.611931829,0.122094205
,,,,,,14.52,-0.855264034,-0.730903554,-0.610277173,0.122493431
,,,,,,14.53,-0.854576264,-0.729817121,-0.60993224,0.122322012
,,,,,,14.54,-0.854398517,-0.728850427,-0.609309711,0.122544403
,,,,,,14.55,-0.854797868,-0.728006873,-0.607462887,0.12366749
,,,,,,14.56,-0.854384378,-0.727289861,-0.604167953,0.125108212
,,,,,,14.57,-0.853617341,-0.726702793,-0.602900244,0.125358549
,,,,,,14.58,-0.853953614,-0.726249068,-0.604032317,0.124960649
,,,,,,14.59,-0.853264189,-0.72593209,-0.605168263,0.124047963
,,,,,,14.6,-0.85251068,-0.725755259,-0.604768154,0.123871263
,,,,,,14.61,-0.852146012,-0.725721976,-0.603914879,0.124115566
,,,,,,14.62,-0.851492377,-0.725835643,-0.604470149,0.123511114
,,,,,,14.63,-0.851353239,-0.726099661,-0.602951789,0.124200725
,,,,,,14.64,-0.852555993,-0.726517103,-0.602002173,0.12527691
,,,,,,14.65,-0.854598296,-0.727088608,-0.601346753,0.126625771
,,,,,,14.66,-0.855648489,-0.727813723,-0.601286655,0.127180917
,,,,,,14.67,-0.855723778,-0.728691992,-0.602010783,0.126856498
,,,,,,14.68,-0.857521196,-0.729722958,-0.602481216,0.12751999
,,,,,,14.69,-0.858160921,-0.730906165,-0.602945268,0.127607826
,,,,,,14.7,-0.861136608,-0.732241156,-0.604471014,0.128332797
,,,,,,14.71,-0.863175061,-0.733727474,-0.606642662,0.1282662
,,,,,,14.72,-0.865030785,-0.735364662,-0.607001182,0.129014802
,,,,,,14.73,-0.868196675,-0.737152264,-0.608409868,0.129893403
,,,,,,14.74,-0.870764448,-0.739089823,-0.612348397,0.129208025
,,,,,,14.75,-0.872425446,-0.741176883,-0.612215527,0.130104959
,,,,,,14.76,-0.874928847,-0.743412947,-0.614702396,0.130113226
,,,,,,14.77,-0.878319018,-0.745796939,-0.61605786,0.131130579
,,,,,,14.78,-0.881046995,-0.748327336,-0.616566977,0.132240009
,,,,,,14.79,-0.883690933,-0.751002603,-0.618944542,0.132373195
,,,,,,14.8,-0.886460986,-0.753821205,-0.620526561,0.132967213
,,,,,,14.81,-0.888666475,-0.756781607,-0.62233266,0.133166907
,,,,,,14.82,-0.890923368,-0.759882273,-0.625002079,0.132960645
,,,,,,14.83,-0.894968307,-0.76312167,-0.627324172,0.133822068
,,,,,,14.84,-0.897361153,-0.766498261,-0.629607575,0.133876789
,,,,,,14.85,-0.901356121,-0.770010512,-0.63187379,0.134741165
,,,,,,14.86,-0.905188236,-0.773656888,-0.636542332,0.134322952
,,,,,,14.87,-0.910312829,-0.777435853,-0.639314272,0.135499279
,,,,,,14.88,-0.914380824,-0.781345797,-0.643535576,0.135422624
,,,,,,14.89,-0.918564706,-0.785385504,-0.646167451,0.136198628
,,,,,,14.9,-0.922130144,-0.789554246,-0.649593345,0.1362684
,,,,,,14.91,-0.925509122,-0.793851304,-0.653265501,0.13612181
,,,,,,14.92,-0.92982147,-0.79827596,-0.65888479,0.13546834
,,,,,,14.93,-0.934297446,-0.802827495,-0.664168385,0.13506453
,,,,,,14.94,-0.940011387,-0.807505191,-0.667890298,0.136060544
,,,,,,14.95,-0.945125866,-0.812308328,-0.672695409,0.136215229
,,,,,,14.96,-0.950516415,-0.817236188,-0.678540106,0.135988154
,,,,,,14.97,-0.955343296,-0.822288053,-0.683451662,0.135945817
,,,,,,14.98,-0.961524441,-0.827463203,-0.688596521,0.13646396
,,,,,,14.99,-0.96602103,-0.832760919,-0.693988316,0.136016357
,,,,,,15,-0.97226942,-0.838180475,-0.699425888,0.136421766
,,,,,,15.01,-0.979625534,-0.84372091,-0.703823017,0.137901258
,,,,,,15.02,-0.985878669,-0.849381039,-0.70912467,0.138376999
,,,,,,15.03,-0.990985075,-0.855159666,-0.715038004,0.137973536
,,,,,,15.04,-0.99622831,-0.861055592,-0.721410797,0.137408757
,,,,,,15.05,-1.002345083,-0.867067621,-0.725071668,0.138636708
,,,,,,15.06,-1.008583303,-0.873194557,-0.730364656,0.139109323
,,,,,,15.07,-1.015292209,-0.879435203,-0.737908746,0.138691731
,,,,,,15.08,-1.019572012,-0.885788362,-0.745964505,0.136803753
,,,,,,15.09,-1.026229387,-0.892252837,-0.751790064,0.137219661
,,,,,,15.1,-1.033307525,-0.898827432,-0.75845684,0.137425342
,,,,,,15.11,-1.038883579,-0.905510949,-0.764559878,0.13716185
,,,,,,15.12,-1.045734209,-0.912302158,-0.770932212,0.137400999
,,,,,,15.13,-1.054012848,-0.919198514,-0.779163004,0.137424922
,,,,,,15.14,-1.059557886,-0.926195763,-0.789740285,0.134908801
,,,,,,15.15,-1.066666392,-0.933289538,-0.797119334,0.134773529
,,,,,,15.16,-1.071998506,-0.940475472,-0.803761625,0.134118441
,,,,,,15.17,-1.079565747,-0.947749198,-0.811359961,0.134102893
,,,,,,15.18,-1.085703611,-0.955106348,-0.819372331,0.13316564
,,,,,,15.19,-1.092485337,-0.962542554,-0.827105723,0.132689807
,,,,,,15.2,-1.100014991,-0.97005345,-0.834865497,0.132574747
,,,,,,15.21,-1.108081359,-0.977634668,-0.843572528,0.132254416
,,,,,,15.22,-1.116908112,-0.985281841,-0.851737528,0.132585292
,,,,,,15.23,-1.125840354,-0.992990601,-0.861376093,0.13223213
,,,,,,15.24,-1.135061792,-1.000756588,-0.868929694,0.133066049
,,,,,,15.25,-1.141659627,-1.008575946,-0.876790527,0.13243455
,,,,,,15.26,-1.147845853,-1.016445674,-0.885635117,0.131105368
,,,,,,15.27,-1.156225713,-1.024362856,-0.893598522,0.131313595
,,,,,,15.28,-1.164428639,-1.032324574,-0.901678608,0.131375016
,,,,,,15.29,-1.172316688,-1.040327911,-0.90929314,0.131511774
,,,,,,15.3,-1.180668354,-1.048369951,-0.916924292,0.131872031
,,,,,,15.31,-1.189897179,-1.056447777,-0.925724296,0.132086441
,,,,,,15.32,-1.198765554,-1.06455847,-0.932968047,0.132898753
,,,,,,15.33,-1.20761367,-1.072699114,-0.940345907,0.133633881
,,,,,,15.34,-1.215022827,-1.080866792,-0.950382248,0.132320289
,,,,,,15.35,-1.222847765,-1.089058588,-0.958963279,0.131942243
,,,,,,15.36,-1.231327722,-1.097271582,-0.966601664,0.132363029
,,,,,,15.37,-1.239139852,-1.105502863,-0.975872915,0.131633468
,,,,,,15.38,-1.246960908,-1.113749783,-0.983396407,0.131782251
,,,,,,15.39,-1.253156132,-1.122010143,-0.991548658,0.130803737
,,,,,,15.4,-1.263261809,-1.130281791,-0.998940086,0.132160862
,,,,,,15.41,-1.271180125,-1.138562573,-1.007114858,0.132032633
,,,,,,15.42,-1.279931725,-1.146850335,-1.015405378,0.132263173
,,,,,,15.43,-1.289446388,-1.155142924,-1.023812578,0.132816905
,,,,,,15.44,-1.296127706,-1.163438186,-1.031949865,0.132088921
,,,,,,15.45,-1.304682641,-1.171733969,-1.039218072,0.132732284
,,,,,,15.46,-1.311808505,-1.180028117,-1.048194591,0.131806957
,,,,,,15.47,-1.320247199,-1.188318478,-1.054639616,0.132803791
,,,,,,15.48,-1.328133771,-1.196602899,-1.061953898,0.133089936
,,,,,,15.49,-1.334655652,-1.204879225,-1.069405189,0.132625232
,,,,,,15.5,-1.344703128,-1.213145303,-1.077332306,0.133685411
,,,,,,15.51,-1.352285952,-1.221398987,-1.084771496,0.133757228
,,,,,,15.52,-1.361298679,-1.229638715,-1.090735776,0.135281452
,,,,,,15.53,-1.370307008,-1.237863916,-1.097336813,0.136485098
,,,,,,15.54,-1.378911808,-1.246074115,-1.104912345,0.136999732
,,,,,,15.55,-1.387203385,-1.254268835,-1.112753711,0.137224837
,,,,,,15.56,-1.394244223,-1.262447602,-1.12063406,0.136805082
,,,,,,15.57,-1.40129668,-1.270609939,-1.126246655,0.137525013
,,,,,,15.58,-1.408474891,-1.278755372,-1.133160434,0.137657228
,,,,,,15.59,-1.415575544,-1.286883424,-1.14002418,0.137775682
,,,,,,15.6,-1.424973695,-1.294993621,-1.146963219,0.139005238
,,,,,,15.61,-1.435063512,-1.303085486,-1.156059193,0.139502159
,,,,,,15.62,-1.444122485,-1.311158544,-1.164631142,0.139745671
,,,,,,15.63,-1.45151179,-1.31921232,-1.172112951,0.13969942
,,,,,,15.64,-1.459720676,-1.327246338,-1.179455084,0.140132796
,,,,,,15.65,-1.469989486,-1.335260123,-1.186710357,0.141639565
,,,,,,15.66,-1.478618212,-1.343253146,-1.193373897,0.142622158
,,,,,,15.67,-1.488712225,-1.351224097,-1.202636559,0.143037833
,,,,,,15.68,-1.49733292,-1.35917106,-1.21070904,0.14331194
,,,,,,15.69,-1.504964549,-1.367092105,-1.216708048,0.144128251
,,,,,,15.7,-1.512435295,-1.374985302,-1.225383174,0.143526061
,,,,,,15.71,-1.519312883,-1.38284872,-1.232913935,0.143199474
,,,,,,15.72,-1.528008977,-1.390680429,-1.240124945,0.143942016
,,,,,,15.73,-1.536439793,-1.3984785,-1.246649289,0.144895252
,,,,,,15.74,-1.542507189,-1.406241001,-1.254542205,0.143982492
,,,,,,15.75,-1.550216162,-1.413966002,-1.262054812,0.144080675
,,,,,,15.76,-1.558293232,-1.421651574,-1.269776457,0.144258387
,,,,,,15.77,-1.566850799,-1.429295785,-1.277686225,0.144582287
,,,,,,15.78,-1.575811969,-1.436896705,-1.284886751,0.145462609
,,,,,,15.79,-1.584212031,-1.444452405,-1.291477601,0.146367215
,,,,,,15.8,-1.592643183,-1.451960954,-1.298253323,0.14719493
,,,,,,15.81,-1.601979256,-1.459420421,-1.306938404,0.147520426
,,,,,,15.82,-1.610158095,-1.466828736,-1.313119962,0.148519067
,,,,,,15.83,-1.618390578,-1.47418327,-1.319501968,0.149444305
,,,,,,15.84,-1.627450417,-1.481481251,-1.327020671,0.150214873
,,,,,,15.85,-1.635341075,-1.48871991,-1.333762556,0.150789259
,,,,,,15.86,-1.644232442,-1.495896477,-1.34200013,0.151116156
,,,,,,15.87,-1.652087439,-1.503008181,-1.349210624,0.151438408
,,,,,,15.88,-1.659724461,-1.510052252,-1.357862242,0.150931109
,,,,,,15.89,-1.667971303,-1.51702592,-1.36544318,0.151264062
,,,,,,15.9,-1.677379739,-1.523926415,-1.371298824,0.153040457
,,,,,,15.91,-1.684095776,-1.530750966,-1.377008845,0.153543465
,,,,,,15.92,-1.689757711,-1.537496804,-1.383028311,0.1533647
,,,,,,15.93,-1.696064301,-1.544161158,-1.38801325,0.154025525
,,,,,,15.94,-1.704639019,-1.550741258,-1.392930809,0.155854105
,,,,,,15.95,-1.712852949,-1.557234334,-1.401446136,0.155703406
,,,,,,15.96,-1.720764677,-1.563637615,-1.408079421,0.156342628
,,,,,,15.97,-1.728132175,-1.569948346,-1.415328075,0.15640205
,,,,,,15.98,-1.733925068,-1.576164849,-1.423065629,0.155429719
,,,,,,15.99,-1.739899954,-1.582287272,-1.430380664,0.154759645
,,,,,,16,-1.745973891,-1.588315942,-1.436563938,0.154704976
,,,,,,16.01,-1.752845379,-1.594251187,-1.442992161,0.154926609
,,,,,,16.02,-1.760132335,-1.600093401,-1.447827484,0.156152426
,,,,,,16.03,-1.767894411,-1.605843998,-1.45462949,0.15663246
,,,,,,16.04,-1.775176979,-1.611505174,-1.460673895,0.157251542
,,,,,,16.05,-1.781466248,-1.617079149,-1.465380326,0.158042961
,,,,,,16.06,-1.78482889,-1.62256814,-1.472451358,0.156188766
,,,,,,16.07,-1.789062188,-1.627974364,-1.475467735,0.156797227
,,,,,,16.08,-1.793143106,-1.63330004,-1.481687698,0.155727704
,,,,,,16.09,-1.796869464,-1.638547385,-1.486463213,0.155203125
,,,,,,16.1,-1.802219867,-1.643718617,-1.489427659,0.156396104
,,,,,,16.11,-1.808553676,-1.648815955,-1.494069554,0.157242061
,,,,,,16.12,-1.813593033,-1.653841616,-1.501019259,0.156286887
,,,,,,16.13,-1.819063157,-1.658797818,-1.505633397,0.15671488
,,,,,,16.14,-1.825730557,-1.663686778,-1.510099499,0.157815529
,,,,,,16.15,-1.830289044,-1.668510715,-1.514241603,0.158023721
,,,,,,16.16,-1.836138015,-1.673271847,-1.517252702,0.159442657
,,,,,,16.17,-1.841270664,-1.677972391,-1.519772468,0.160749098
,,,,,,16.18,-1.847695947,-1.682614663,-1.526881694,0.160407127
,,,,,,16.19,-1.852445331,-1.687201504,-1.532674048,0.159885642
,,,,,,16.2,-1.855777821,-1.691735935,-1.537058051,0.159359885
,,,,,,16.21,-1.858660178,-1.696220974,-1.541605245,0.158527466
,,,,,,16.22,-1.864014226,-1.700659642,-1.544010526,0.16000185
,,,,,,16.23,-1.867296369,-1.705054957,-1.548137791,0.159579289
,,,,,,16.24,-1.875218683,-1.70940994,-1.553146701,0.161035991
,,,,,,16.25,-1.879385359,-1.713727611,-1.555980358,0.161702501
,,,,,,16.26,-1.884566723,-1.718010987,-1.560695041,0.161935841
,,,,,,16.27,-1.888746952,-1.72226309,-1.565371676,0.161687638
,,,,,,16.28,-1.893046702,-1.726486939,-1.570035775,0.161505464
,,,,,,16.29,-1.899146288,-1.730685554,-1.573725598,0.162710345
,,,,,,16.3,-1.903394543,-1.734861953,-1.576056393,0.163669075
,,,,,,16.31,-1.908158205,-1.739019156,-1.579345873,0.164406166
,,,,,,16.32,-1.91195734,-1.743160184,-1.58363733,0.164160005
,,,,,,16.33,-1.917152071,-1.747288055,-1.586747378,0.165202347
,,,,,,16.34,-1.923074457,-1.75140579,-1.59065736,0.166208549
,,,,,,16.35,-1.928251385,-1.755516325,-1.593577333,0.167337026
,,,,,,16.36,-1.933718584,-1.759622152,-1.594927027,0.169395779
,,,,,,16.37,-1.939423663,-1.763725611,-1.598599839,0.170411912
,,,,,,16.38,-1.944892017,-1.767829045,-1.601753228,0.171569394
,,,,,,16.39,-1.950787965,-1.771934793,-1.606832583,0.171977691
,,,,,,16.4,-1.956277767,-1.776045197,-1.607860796,0.174208485
,,,,,,16.41,-1.961074069,-1.780162599,-1.608975388,0.176049341
,,,,,,16.42,-1.965035397,-1.784289338,-1.610913678,0.177060859
,,,,,,16.43,-1.968516707,-1.788427757,-1.616938403,0.175789152
,,,,,,16.44,-1.973744034,-1.792580197,-1.620986062,0.176378986
,,,,,,16.45,-1.978553056,-1.796748997,-1.624175101,0.177188978
,,,,,,16.46,-1.982828273,-1.800936501,-1.625721234,0.178553519
,,,,,,16.47,-1.989685776,-1.805145048,-1.626966028,0.181359874
,,,,,,16.48,-1.992778844,-1.809376979,-1.630944405,0.18091722
,,,,,,16.49,-1.998619416,-1.813634636,-1.634264729,0.182177343
,,,,,,16.5,-2.005365662,-1.81792036,-1.638715222,0.18332522
,,,,,,16.51,-2.010435483,-1.822236492,-1.640842205,0.184796639
,,,,,,16.52,-2.015847452,-1.826585373,-1.643194063,0.186326695
,,,,,,16.53,-2.02001687,-1.830969344,-1.64636413,0.18682637
,,,,,,16.54,-2.026160086,-1.835390746,-1.648891602,0.188634242
,,,,,,16.55,-2.03063054,-1.839851697,-1.653305941,0.1886623
,,,,,,16.56,-2.033884636,-1.844353106,-1.659157515,0.18736356
,,,,,,16.57,-2.037393041,-1.848895475,-1.666325151,0.185533945
,,,,,,16.58,-2.041645152,-1.853479308,-1.66881444,0.186415356
,,,,,,16.59,-2.047269326,-1.858105105,-1.67061542,0.188326953
,,,,,,16.6,-2.050960751,-1.86277337,-1.674915873,0.188022439
,,,,,,16.61,-2.056215611,-1.867484605,-1.682085104,0.187065254
,,,,,,16.62,-2.060789346,-1.872239312,-1.684975536,0.187906905
,,,,,,16.63,-2.063915257,-1.877037993,-1.687453416,0.18823092
,,,,,,16.64,-2.070648439,-1.881881151,-1.693772707,0.188437866
,,,,,,16.65,-2.077394881,-1.886769287,-1.698107942,0.18964347
,,,,,,16.66,-2.084532422,-1.891702905,-1.700354311,0.192089056
,,,,,,16.67,-2.090225216,-1.896682506,-1.704035199,0.193095009
,,,,,,16.68,-2.095156137,-1.901708593,-1.7079858,0.193585168
,,,,,,16.69,-2.101508253,-1.906781667,-1.712360855,0.194573699
,,,,,,16.7,-2.108367014,-1.911902232,-1.714842395,0.19676231
,,,,,,16.71,-2.113376032,-1.91707079,-1.718715799,0.197330116
,,,,,,16.72,-2.118556971,-1.922287842,-1.725067459,0.196744756
,,,,,,16.73,-2.125616329,-1.927553891,-1.731452508,0.197081911
,,,,,,16.74,-2.131690425,-1.93286944,-1.733552895,0.199068765
,,,,,,16.75,-2.137435406,-1.93823499,-1.738161743,0.199636832
,,,,,,16.76,-2.142708458,-1.94365052,-1.741730074,0.200489192
,,,,,,16.77,-2.149478039,-1.949113911,-1.746971558,0.20125324
,,,,,,16.78,-2.157824266,-1.95462252,-1.749994512,0.203914877
,,,,,,16.79,-2.165039416,-1.960173703,-1.754126221,0.205456597
,,,,,,16.8,-2.169952768,-1.965764817,-1.758723097,0.205614835
,,,,,,16.81,-2.177084626,-1.97139322,-1.763951114,0.206566756
,,,,,,16.82,-2.181916548,-1.977056268,-1.770573771,0.205671389
,,,,,,16.83,-2.188601913,-1.982751319,-1.775108541,0.206746686
,,,,,,16.84,-2.195553782,-1.988475728,-1.78262355,0.206465116
,,,,,,16.85,-2.203683482,-1.994226854,-1.787447497,0.208117993
,,,,,,16.86,-2.209243375,-2.000002053,-1.793026697,0.208108339
,,,,,,16.87,-2.216826804,-2.005798681,-1.795402275,0.210712264
,,,,,,16.88,-2.224277664,-2.011614096,-1.799655059,0.212311302
,,,,,,16.89,-2.231715671,-2.017445655,-1.802417898,0.214648886
,,,,,,16.9,-2.239992541,-2.023290714,-1.807455376,0.216268582
,,,,,,16.91,-2.247785078,-2.02914663,-1.813037657,0.217373711
,,,,,,16.92,-2.254096984,-2.035010761,-1.817485855,0.218305565
,,,,,,16.93,-2.26134087,-2.040880463,-1.823096721,0.219122075
,,,,,,16.94,-2.2690748,-2.046753094,-1.827454469,0.220810166
,,,,,,16.95,-2.274382588,-2.052626009,-1.832456467,0.22096306
,,,,,,16.96,-2.280380164,-2.058496566,-1.836362115,0.222009024
,,,,,,16.97,-2.289419268,-2.064362122,-1.842374849,0.22352221
,,,,,,16.98,-2.294337286,-2.070220034,-1.846926198,0.223705544
,,,,,,16.99,-2.300576428,-2.076067704,-1.851313581,0.224631424
,,,,,,17,-2.306395153,-2.081904309,-1.857205209,0.224594972
,,,,,,17.01,-2.312492737,-2.087731331,-1.85940525,0.226543744
,,,,,,17.02,-2.318192043,-2.093550364,-1.865292961,0.226449541
,,,,,,17.03,-2.323160348,-2.099361386,-1.872286429,0.22543696
,,,,,,17.04,-2.33078037,-2.105162277,-1.876432908,0.227173731
,,,,,,17.05,-2.33719774,-2.110950774,-1.883655183,0.226771278
,,,,,,17.06,-2.343362096,-2.116724616,-1.889302975,0.22702956
,,,,,,17.07,-2.350131137,-2.122481541,-1.895372031,0.227379553
,,,,,,17.08,-2.35585275,-2.128219288,-1.901484653,0.227184049
,,,,,,17.09,-2.363221499,-2.133935595,-1.906852209,0.228184645
,,,,,,17.1,-2.37113812,-2.1396282,-1.910453063,0.230342529
,,,,,,17.11,-2.378005406,-2.145294843,-1.915110616,0.231447395
,,,,,,17.12,-2.38382657,-2.150933261,-1.920011796,0.231907387
,,,,,,17.13,-2.389250473,-2.156541192,-1.925247642,0.232001416
,,,,,,17.14,-2.394641587,-2.162116376,-1.932336468,0.231152559
,,,,,,17.15,-2.39885012,-2.167656551,-1.936542125,0.231153998
,,,,,,17.16,-2.403581677,-2.173159455,-1.941657477,0.2309621
,,,,,,17.17,-2.408859348,-2.178622826,-1.946708052,0.231075648
,,,,,,17.18,-2.414204958,-2.184044403,-1.950202191,0.232001384
,,,,,,17.19,-2.418683132,-2.189421924,-1.954470152,0.23210649
,,,,,,17.2,-2.4237182,-2.194753128,-1.95948654,0.23211583
,,,,,,17.21,-2.428850444,-2.200035753,-1.962551539,0.233149453
,,,,,,17.22,-2.43420519,-2.205267538,-1.968588049,0.23280857
,,,,,,17.23,-2.440166891,-2.210446221,-1.975080077,0.232543407
,,,,,,17.24,-2.4460057,-2.215569719,-1.978524596,0.233740552
,,,,,,17.25,-2.450430572,-2.220637274,-1.982376934,0.234026819
,,,,,,17.26,-2.456498212,-2.225648722,-1.988825358,0.233836427
,,,,,,17.27,-2.459809754,-2.2306039,-1.994128913,0.232840421
,,,,,,17.28,-2.466754054,-2.235502645,-2.002268576,0.232242739
,,,,,,17.29,-2.469644205,-2.240344797,-2.006331738,0.231656233
,,,,,,17.3,-2.472232654,-2.245130192,-2.00738509,0.232423782
,,,,,,17.31,-2.4788398,-2.249858669,-2.012881591,0.232979104
,,,,,,17.32,-2.483962135,-2.254530064,-2.017235164,0.233363485
,,,,,,17.33,-2.490911631,-2.259144217,-2.02366182,0.233624905
,,,,,,17.34,-2.497011973,-2.263700966,-2.027879647,0.234566163
,,,,,,17.35,-2.500433666,-2.268200146,-2.031997756,0.234217955
,,,,,,17.36,-2.503515476,-2.272641598,-2.035170349,0.234172563
,,,,,,17.37,-2.508878283,-2.277025158,-2.039552879,0.234662702
,,,,,,17.38,-2.514113526,-2.281350665,-2.044367046,0.23487324
,,,,,,17.39,-2.519851127,-2.285617956,-2.053737794,0.233056667
,,,,,,17.4,-2.524617103,-2.289826869,-2.058079682,0.23326871
,,,,,,17.41,-2.530265024,-2.293977242,-2.059508793,0.235378115
,,,,,,17.42,-2.537724625,-2.298068913,-2.062041936,0.237841345
,,,,,,17.43,-2.539367738,-2.30210172,-2.067506675,0.235930531
,,,,,,17.44,-2.543244417,-2.3060755,-2.069696049,0.236774184
,,,,,,17.45,-2.547494158,-2.309990092,-2.072024933,0.237734613
,,,,,,17.46,-2.550526326,-2.313845332,-2.073677346,0.23842449
