ID,Latitude,Longitude,Year (CE),RSL (mm),RSL std (mm)
135.0,39.933333,-75.141667,1955.0,-115.19759006906315,3.7321747915544146
135.0,39.933333,-75.141667,1965.0,-147.9097728017814,2.8083255598868613
135.0,39.933333,-75.141667,1975.0,-74.01618615977259,2.791253170491311
135.0,39.933333,-75.141667,1985.0,-78.39028542894175,2.791253197464276
135.0,39.933333,-75.141667,1995.0,-16.928785941150636,5.248407234225975
135.0,39.933333,-75.141667,2005.0,14.541876091730956,2.8041424206386565
135.0,39.933333,-75.141667,2015.0,74.34244159583977,2.791253220227131
148.0,39.266667,-76.578333,1905.0,-273.5363062012884,9.021522555119379
148.0,39.266667,-76.578333,1915.0,-273.1676493110581,2.7499349157930837
148.0,39.266667,-76.578333,1925.0,-264.15459880513754,2.7499349166562235
148.0,39.266667,-76.578333,1935.0,-216.9211546520246,2.749934916759706
148.0,39.266667,-76.578333,1945.0,-165.09947220127106,2.7499349167432436
148.0,39.266667,-76.578333,1955.0,-126.63391524061353,2.749934916331664
148.0,39.266667,-76.578333,1965.0,-124.01267989223743,2.7499349150052033
148.0,39.266667,-76.578333,1975.0,-79.54301424934238,2.749934919168032
148.0,39.266667,-76.578333,1985.0,-69.44503493303273,2.764827452486827
148.0,39.266667,-76.578333,1995.0,-12.157972676292957,2.764827454686938
148.0,39.266667,-76.578333,2005.0,-0.08231339055782882,2.7499386049950423
148.0,39.266667,-76.578333,2015.0,68.72073001908211,3.2373708707730446
161.0,29.31,-94.793333,1905.0,-431.5818200639105,99.30601894417649
161.0,29.31,-94.793333,1915.0,-549.5337052882742,2.7126472583182197
161.0,29.31,-94.793333,1925.0,-484.5971170274088,2.7126222616625837
161.0,29.31,-94.793333,1935.0,-459.3221901518291,2.712622260825718
161.0,29.31,-94.793333,1945.0,-327.79477726629466,2.7126222627879404
161.0,29.31,-94.793333,1955.0,-319.5156665129289,2.712622262644887
161.0,29.31,-94.793333,1965.0,-269.27354547443065,2.7126222655631853
161.0,29.31,-94.793333,1975.0,-153.74405600592218,3.13349126829309
161.0,29.31,-94.793333,1985.0,-102.38024791892167,2.7138356752788804
161.0,29.31,-94.793333,1995.0,-24.242030253651137,2.7126222628880785
161.0,29.31,-94.793333,2005.0,12.073847299262525,3.148844003451262
161.0,29.31,-94.793333,2015.0,116.63130419634581,2.712626129201563
